source,listing_id,collected_date,brand,model_line,tier,storage_gb,ram_gb,price_dzd,condition,condition_raw,is_5g,dual_sim,launch_year
retail,,2026-09-22,ace,BUZZ 7 Lite,compact,64.0,6.0,15000.0,new,,,False,
retail,,2026-09-22,ace,Buzz 7 PRIME,,64.0,8.0,16000.0,new,,,False,
retail,,2026-09-22,ace,Buzz 8 Lite,compact,64.0,6.0,15000.0,new,,,False,
retail,,2026-09-22,ace,buzz 6 FLIP,,256.0,12.0,65000.0,new,,,False,
retail,21009702.0,2026-09-22,ace,buzz 6 FLIP,,,,65000.0,new,Neuf,,False,
retail,69.0,2026-09-22,apple,IPHONE 13 PRO MAX,promax,256.0,,162000.0,new,Rupture,,False,2021.0
retail,76.0,2026-09-22,apple,IPHONE 14 PRO MAX,promax,1024.0,,299000.0,new,Rupture,,False,2022.0
retail,19.0,2026-09-22,apple,IPHONE 15 PRO MAX,promax,256.0,,274000.0,new,Rupture,,True,2023.0
retail,20.0,2026-09-22,apple,IPHONE 15 PRO MAX,promax,256.0,,269900.0,new,Rupture,,False,2023.0
retail,225.0,2026-09-22,apple,IPHONE 16 PRO MAX,promax,256.0,,292000.0,new,Rupture,,False,2024.0
retail,4.0,2026-09-22,apple,Iphone 11,,,,98000.0,new,Rupture,,False,2019.0
retail,8.0,2026-09-22,apple,Iphone 13,,,,139900.0,new,Rupture,,False,2021.0
retail,1.0,2026-09-22,apple,Iphone 14 pro max,promax,128.0,,189900.0,new,Rupture,,False,2022.0
retail,,2026-09-22,apple,iPhone 11,,64.0,4.0,42000.0,new,,,False,2019.0
retail,105310.0,2026-09-22,apple,iPhone 11,,64.0,,42000.0,new,Neuf | Occasion,,False,2019.0
retail,,2026-09-22,apple,iPhone 11 Pro,pro,64.0,4.0,59000.0,new,,,False,2019.0
retail,105154.0,2026-09-22,apple,iPhone 11 Pro,pro,64.0,,59000.0,new,Neuf,,False,2019.0
retail,,2026-09-22,apple,iPhone 12 Pro Max,promax,256.0,6.0,99000.0,new,,,False,2020.0
retail,3766899.0,2026-09-22,apple,iPhone 12 Pro Max,promax,256.0,,99000.0,new,Neuf,,False,2020.0
retail,,2026-09-22,apple,iPhone 13,,128.0,4.0,76000.0,,,,False,2021.0
retail,,2026-09-22,apple,iPhone 13,,128.0,4.0,,used,,,False,2021.0
retail,6371893.0,2026-09-22,apple,iPhone 13,,128.0,,76000.0,new,Neuf | Occasion,,False,2021.0
retail,13467770.0,2026-09-22,apple,iPhone 13,,128.0,,73900.0,used,Occasion,,False,2021.0
retail,,2026-09-22,apple,iPhone 13,,256.0,4.0,82000.0,new,,,False,2021.0
retail,6372010.0,2026-09-22,apple,iPhone 13,,256.0,,82000.0,new,Neuf,,False,2021.0
retail,499.0,2026-09-22,apple,iPhone 13 Pro,pro,128.0,,132900.0,new,Disponible,,False,2021.0
retail,,2026-09-22,apple,iPhone 13 Pro,pro,128.0,6.0,,used,,,False,2021.0
retail,6371081.0,2026-09-22,apple,iPhone 13 Pro,pro,128.0,,98900.0,used,Occasion,,False,2021.0
retail,,2026-09-22,apple,iPhone 13 Pro Max,promax,128.0,6.0,,,,,False,2021.0
retail,,2026-09-22,apple,iPhone 13 Pro Max,promax,128.0,6.0,,used,,,False,2021.0
retail,,2026-09-22,apple,iPhone 13 Pro Max,promax,128.0,6.0,,used,,,False,2021.0
retail,6371388.0,2026-09-22,apple,iPhone 13 Pro Max,promax,128.0,,116000.0,used,Occasion,,False,2021.0
retail,7264542.0,2026-09-22,apple,iPhone 13 Pro Max,promax,128.0,,118000.0,used,Occasion,,False,2021.0
retail,6182512.0,2026-09-22,apple,iPhone 13 Pro Max,promax,,,125000.0,used,Occasion,,False,2021.0
retail,310.0,2026-09-22,apple,iPhone 14,,128.0,,139000.0,new,Rupture,,False,2022.0
retail,,2026-09-22,apple,iPhone 14,,128.0,6.0,112000.0,new,,,False,2022.0
retail,,2026-09-22,apple,iPhone 14,,128.0,6.0,129000.0,new,,,False,2022.0
retail,,2026-09-22,apple,iPhone 14 Pro,pro,128.0,6.0,126000.0,new,,,False,2022.0
retail,,2026-09-22,apple,iPhone 14 Pro Max,promax,128.0,6.0,,used,,,False,2022.0
retail,12029703.0,2026-09-22,apple,iPhone 14 Pro Max,promax,128.0,6.0,149000.0,used,Occasion,,False,2022.0
retail,,2026-09-22,apple,iPhone 15,,128.0,6.0,140000.0,new,,,False,2023.0
retail,14721071.0,2026-09-22,apple,iPhone 15,,128.0,,140000.0,new,Neuf | Occasion,,False,2023.0
retail,,2026-09-22,apple,iPhone 15,,256.0,6.0,189000.0,new,,,False,2023.0
retail,14721073.0,2026-09-22,apple,iPhone 15,,256.0,,189000.0,new,Neuf,,False,2023.0
retail,,2026-09-22,apple,iPhone 15 Plus,plus,128.0,6.0,130000.0,new,,,False,2023.0
retail,14721152.0,2026-09-22,apple,iPhone 15 Plus,plus,128.0,,130000.0,new,Neuf | Occasion,,False,2023.0
